,title,date,time,author,counts,sometext,category,Date
15,Редизайн интерфейса Windows Phone глазами Nokia,21.03.2012/09:50,Обновлено: 21.03.2012 в 08:29,ITC.UA,25,"Информационный ресурс Pocketnow опубликовал скриншоты интерфейса Windows Phone в том виде, в котором его видит Nokia или, как выяснилось позже, один из ее сотрудников, ответственный за эту работу. Отличия…","
Новости
",09:50 AM 21/03/2012
16,Western Digital представила первый портативный накопитель емкостью 2 ТБ,21.03.2012/09:30,Обновлено: 21.03.2012 в 08:19,ITC.UA,8,"Модельный ряд портативных накопителей компании Western Digital пополнился новым устройством My Passport высокой емкости. Отмечается, что впервые емкость портативного накопителя достигла отметки 2 ТБ.…","
Новости
",09:30 AM 21/03/2012
17,HW LOG — Ремонт Asus X50N,21.03.2012/03:14,Обновлено: 21.03.2012 в 03:14,k1T4eR,1,"Первая моя запись в блоге ITC будет полезной для всех, я надеюсь. Для начала, что же значит «HW LOG» в заголовке. Расшифровывается это как HardWare Log, что, попросту, означает — запись, напрямую…","
Блоги
",03:14 AM 21/03/2012
18,Обзор смартфона Sony Xperia S,20.03.2012/23:51,Обновлено: 03.01.2013 в 19:29,Александр Иванык,60,"Смартфон Sony Xperia S – первая модель, выпущенная после окончания содружества Sony и Ericsson. Понимая, что встречать будут по одежке, а провожать по уму, в Sony постарались наделить устройство не только…","
Обзоры
",11:51 PM 20/03/2012
19,Приставки для цифрового ТВ могут появиться в продаже в Украине уже на этой неделе,20.03.2012/17:00,Обновлено: 20.03.2012 в 17:21,ITC.UA,4,"Как передает Biz.Liga.net, ссылаясь на сообщение в официальном Facebook-аккаунте Национального совета по вопросам телевидения и радиовещания, к концу этой недели в украинской розничной торговле…","
Новости
",05:00 PM 20/03/2012
20,The Pirate Bay планирует запустить беспилотные серверы в нейтральных водах,20.03.2012/15:44,Обновлено: 20.03.2012 в 15:44,ITC.UA,32,С целью собственной защиты от действий правообладателей торрент-трекер The Pirate Bay рассматривает возможность размещения серверов в нейтральных водах. Для этих целей планируется использовать…,"
Новости
",03:44 PM 20/03/2012
21,Видеообзор Logitech Touch Mouse M600,20.03.2012/15:15,Обновлено: 20.03.2012 в 15:15,Олег Данилов,13,Обзор стильной и оригинальной мыши Logitech Touch Mouse M600 с сенсорной поверхностью и сверхплавным скроллингом.,"
Видео
",03:15 PM 20/03/2012
22,Новый iPad оказался на 5°C горячее предшественника,20.03.2012/14:32,Обновлено: 20.03.2012 в 14:32,ITC.UA,52,Помимо дисплея высокого разрешения первые владельцы iPad третьего поколения стали обращать внимание на еще одну особенность устройства — на его приличный нагрев под нагрузкой. В…,"
Новости
",02:32 PM 20/03/2012
23,Bloomberg: Microsoft представит Windows 8 в октябре,20.03.2012/13:56,Обновлено: 20.03.2012 в 13:56,ITC.UA,18,"Как сообщает Bloomberg, ссылаясь на слова осведомленных источников, корпорация Microsoft намерена полностью закончить разработку новой версии операционной системы Windows 8 летом этого года. А уже…","
Новости
",01:56 PM 20/03/2012
24,Электронные ридеры: на чем остановить свой выбор?,20.03.2012/13:56,Обновлено: 07.11.2017 в 10:57,ITC.UA,14,"Рынок IT-продуктов, использующих технологию электронных чернил, или E—Ink, продолжает развиваться. Из года в год растет не только спрос на эти товары, но и предложение на e—reader’ы* (или…","
Блоги
",01:56 PM 20/03/2012
25,МТС расширила аудиторию для услуги «Безлимитный день в МТС»,20.03.2012/13:20,Обновлено: 20.03.2012 в 17:24,ITC.UA,6,"Оператор мобильной связи «МТС Украина» объявил о том, что услуга полного безлимита на звонки в сети в течение суток теперь доступна для всех абонентов предоплаты. Напомним, что ранее услуга…","
Новости
",01:20 PM 20/03/2012
26,«Яндекс.Shell» — бесплатная оболочка для Android,20.03.2012/12:45,Обновлено: 20.03.2012 в 14:19,ITC.UA,31,"В ноябре прошлого года компания «Яндекс» приобрела разработчика мобильных приложений SPB Software, также известного своей оболочкой для Android-смартфонов — SPB Shell. До покупки «Яндексом» она…","
Новости
",12:45 PM 20/03/2012
27,Seagate увеличила плотность хранения данных на магнитных пластинах до 1 Тб на квадратный дюйм,20.03.2012/12:27,Обновлено: 20.03.2012 в 12:27,Олег Данилов,29,"Компания Seagate сообщила о достижении значительного прогресса в увеличении плотности хранения данных на магнитных пластинах жестких дисков. Отмечается, что она стала первой среди…","
Новости
",12:27 PM 20/03/2012
28,Пользовательские блоги на ITC.ua,20.03.2012/12:21,Обновлено: 20.03.2012 в 21:36,ITC.UA,1,"Уважаемые блогеры ITC.ua. В связи с переездом сайта на новый движок мы в свое время отключили возможность размещения пользовательских блогов на нашем ресурсе. Рады сообщить вам, что данная…","
Блоги
",12:21 PM 20/03/2012
29,За первые выходные со старта продаж Apple реализовала 3 млн новых iPad,20.03.2012/11:33,Обновлено: 20.03.2012 в 11:33,ITC.UA,23,"Apple официально сообщила, что с момента старта продаж 16 марта, за первые выходные было продано 3 млн новых iPad. Это результат старший вице-президент компании по маркетингу, Фил Шиллер (Phil Schiller),…","
Новости
",11:33 AM 20/03/2012
30,"LG представила 15,6-дюймовые ноутбуки в линейке Xnote",20.03.2012/11:16,Обновлено: 20.03.2012 в 11:16,Юрий Мелков,16,"Компания LG расширила модельный ряд ноутбуков за счет выпуска нескольких новых устройств с 15,6-дюймовыми дисплеями. Наибольший интерес среди них вызывает модель Xnote A540-H, поддерживающая…","
Новости
",11:16 AM 20/03/2012
31,"Мобильная связь по земле, по воде и по воздуху: история Натана Стабблфилд",20.03.2012/10:30,Обновлено: 18.06.2014 в 11:53,ITC.UA,3,"Натан Стабблфилд (1860–1928), хозяин фермы по выращиванию дынь в штате Кентукки, недалеко от городка Мюррей, был, по большому счету, самоучкой. Конечно, в 1880–90-е годы в США, где успешно создавали…","
Статьи
",10:30 AM 20/03/2012
32,Pioneer представила четыре ресивера для массового рынка,20.03.2012/09:30,Обновлено: 20.03.2012 в 10:28,Олег Кучеренко,12,"Компания Pioneer расширила модельный ряд аудио-видео ресиверов, представив сразу четыре новых устройства для массового сегмента рынка. Три из представленных новинок — VSX-822, VSX-1022 и VSX-1122…","
Новости
",09:30 AM 20/03/2012
33,Видеоблог о цифровой фототехнике — S02E04,19.03.2012/22:37,Обновлено: 19.03.2012 в 22:37,Олег Данилов,6,,"
Видео
",10:37 PM 19/03/2012
34,Видеообзор PocketBook Touch,19.03.2012/18:09,Обновлено: 19.03.2012 в 18:15,ITC.UA,6,"Видеообзор 6-дюймового e-ink ридера PocketBook Touch, поддерживающего все существующие форматы, с встроенным словарём и MP3-плеером.","
Видео
",06:09 PM 19/03/2012
35,Компания Softkey может сменить собственника,19.03.2012/17:20,Обновлено: 19.03.2012 в 16:30,ITC.UA,4,"Согласно сообщения «Коммерсанъ Украина», владелец 70% одного из крупнейших в СНГ дистрибуторов программного обеспечения Softkey — компания IBS Group — принял решение выйти из состава его…","
Новости
",05:20 PM 19/03/2012
36,RapidShare заставят более жестко фильтровать загружаемый пользователями контент,19.03.2012/16:40,Обновлено: 19.03.2012 в 16:26,ITC.UA,1,"Далеко не первый год возникаю трения между файлообменными сервисами и правообладателями. Например, в январе был закрыт Megaupload, а его основатели и часть сотрудников арестованы. Это событие…","
Новости
",04:40 PM 19/03/2012
37,Впервые за 16 лет Apple решила выплатить дивиденды,19.03.2012/16:25,Обновлено: 19.03.2012 в 16:25,ITC.UA,38,"В 1995 году Apple выплатила дивиденды держателям акций в размере $0,12 за штуку, после чего наступил огромный перерыв, который завершится в четвертом квартале этого года, сообщила компания в…","
Новости
",04:25 PM 19/03/2012
38,Mozilla обновила Thunderbird до версии 11,19.03.2012/15:39,Обновлено: 19.03.2012 в 15:39,ITC.UA,12,"Вслед за Firefox компания Mozilla обновила до 11 версии и свое приложение для работы с электронной почтой Thunderbird. Учитывая, что срок между появлением новых версий программы значительно сократился,…","
Новости
",03:39 PM 19/03/2012
39,IDC: Украина оказалась в тройке лидеров региона EMEA по росту рынка ПК,19.03.2012/15:02,Обновлено: 19.03.2012 в 15:02,ITC.UA,8,"Согласно последнему исследованию аналитической компании IDC, рынок ПК в Украине вырос за год на 6,5%. Если сравнивать поквартальный рост, то в четвертом квартале прошлого года он составил 4,2% в…","
Новости
",03:02 PM 19/03/2012
40,У Google в планах 7-дюймовый планшет Nexus,19.03.2012/13:49,Обновлено: 19.03.2012 в 13:49,Александр Иванык,31,"Довольно интересная история стала активно развиваться вокруг потенциального продукта Google и это не очередной сервис. Судя по данным информационного ресурса Android and Me, компания планирует…","
Новости
",01:49 PM 19/03/2012
41,Особенности тарифа «Интернет без границ» оператора «Киевстар». Продолжение.,19.03.2012/13:24,Обновлено: 19.03.2012 в 13:24,ITC.UA,87,"Как я и обещал, продолжаю рассказывать о сюрпризах ожидающих абонентов купивших мобильный телефон «Киевстар» или подключивших тариф «Интернет без границ».","
Блоги
",01:24 PM 19/03/2012
42,HP выпустила три ноутбука на базе процессоров Intel Ivy Bridge,19.03.2012/12:53,Обновлено: 19.03.2012 в 12:53,Сергей Кулеш,19,"Без каких-либо громких анонсов компания HP расширила модельный ряд ноутбуков и опубликовала на своем сайте сведения о новых устройствах, основанных на процессорах Intel Ivy Bridge, которые…","
Новости
",12:53 PM 19/03/2012
43,"Обзор планшета Apple New iPad (iPad 3, iPad 4)",19.03.2012/11:00,Обновлено: 21.06.2014 в 15:45,ITC.UA,1,"Две недели назад компания Apple представила новый iPad, получивший уникальный Retina-дисплей с разрешением 2048 на 1536 точек, мощную аппаратную платформу Apple A5X, усиленный аккумулятор на 42 Втч и…","
Обзоры
",11:00 AM 19/03/2012
44,Gigabyte представила две разогнанные видеокарты серии Radeon HD 7800,19.03.2012/10:59,Обновлено: 19.03.2012 в 10:59,ITC.UA,4,"Компания Gigabyte расширила модельный ряд настольных видеокарт за счет выпуска двух новых устройств в рамках серии Radeon HD 7800 Overclock Series. Как видно из названия, обе новинки изначально разогнаны в…","
Новости
",10:59 AM 19/03/2012
45,"AOC начинает поставки портативного 15,6-дюймового USB-монитора",19.03.2012/10:42,Обновлено: 19.03.2012 в 10:42,ITC.UA,8,"Компания AOC выпустила новую портативную модель монитора, которая предназначена для совместного применения с ноутбуками. Данная новинка, получившая название USB Monitor (e1649fwu), имеет диагональ…","
Новости
",10:42 AM 19/03/2012
46,Transcend создала производительный накопитель SSD720,19.03.2012/10:00,Обновлено: 19.03.2012 в 15:39,ITC.UA,6,"Модельный ряд твердотельных накопителей компании Transcend пополнился новым устройством SSD720, предназначенном для применения в составе высокопроизводительных компьютерных систем.…","
Новости
",10:00 AM 19/03/2012
47,Итоги недели: сделки и поглощения,18.03.2012/20:00,Обновлено: 17.03.2012 в 22:46,Михаил Лаптев,6,"Уходящая неделя принесла много новостей, но если предыдущая отличалась продуктовыми анонсами, то на этой превалировали сообщения немного иного характера. Уже не первый раз замечено, что…","
Блоги
",08:00 PM 18/03/2012
48,Обзор Uncharted: Golden Abyss,18.03.2012/13:00,Обновлено: 18.03.2012 в 15:11,Михаил Зинченко,1,"Uncharted: Golden Abyss еще до своего выхода вызывала предельно противоречивые чувства. С одной стороны, многие ожидали проекта уровня трилогии для PS3, с другой – разработчиками на этот раз выступали…","
Обзоры
",01:00 PM 18/03/2012
49,"Дата выхода Diablo III, сбор средств на Wasteland 2, HD-ремейк Baldur’s Gate",18.03.2012/13:00,Обновлено: 19.03.2012 в 12:02,Олег Данилов,2,"Главная новость недели — Blizzard объявила дату запуска Diablo III. Долгожданная action/RPG появится в продаже 15 мая 2012 г. в Европе, по цене 60 евро. При этом русскоязычная версия будет доступна только 7…","
Блоги
",01:00 PM 18/03/2012
50,MSI официально анонсировала видеокарту R7970 Lightning,18.03.2012/12:30,Обновлено: 18.03.2012 в 14:56,ITC.UA,0,"Как сообщалось ранее, компания MSI готовит к выпуску видеокарту R7970 Lightning с устройством GPU Reactor на борту. Теперь же данная модель была официально анонсирована производителем. Отмечается, что…","
Новости
",12:30 PM 18/03/2012
51,Raidmax представила корпус AGUSTA для геймеров,18.03.2012/10:50,Обновлено: 18.03.2012 в 10:50,ITC.UA,15,"Компания Raidmax расширила модельный ряд компьютерных корпусов за счет выпуска устройства AGUSTA, которое предназначено для создания производительных игровых систем. Представленная новинка…","
Новости
",10:50 AM 18/03/2012
52,Новые программы и драйверы: итоги 11-й недели,18.03.2012/10:33,Обновлено: 21.03.2012 в 12:11,Алексей Фингерут,7,Самые важные и интересные обновления прошедшей недели.,"
Обзоры
",10:33 AM 18/03/2012
